t,o,h,l,c,v
2026-04-15T15:15:00Z,263.4699,263.53,263.38,263.465,67192.0
2026-04-15T15:16:00Z,263.45,263.53,263.36,263.51,75541.0
2026-04-15T15:17:00Z,263.49,263.53,263.1707,263.23,72990.0
2026-04-15T15:18:00Z,263.23,263.24,262.93,262.945,74862.0
2026-04-15T15:19:00Z,262.935,263.095,262.87,263.07,64941.0
2026-04-15T15:20:00Z,263.06,263.065,262.775,262.775,89080.0
2026-04-15T15:21:00Z,262.7801,262.855,262.45,262.64,127730.0
2026-04-15T15:22:00Z,262.65,262.7101,262.52,262.54,72118.0
2026-04-15T15:23:00Z,262.54,262.81,262.525,262.8,105739.0
2026-04-15T15:24:00Z,262.79,262.87,262.76,262.8,76725.0
2026-04-15T15:25:00Z,262.79,262.84,262.73,262.835,70974.0
2026-04-15T15:26:00Z,262.85,262.96,262.74,262.74,80279.0
2026-04-15T15:27:00Z,262.74,263.05,262.73,263.0,76310.0
2026-04-15T15:28:00Z,262.995,263.1,262.96,262.99,84010.0
2026-04-15T15:29:00Z,263.0,263.2,262.94,263.17,90480.0
2026-04-15T15:30:00Z,263.16,263.24,262.99,263.035,87628.0
2026-04-15T15:31:00Z,263.02,263.18,262.985,263.18,48782.0
2026-04-15T15:32:00Z,263.2,263.36,263.2,263.295,84423.0
2026-04-15T15:33:00Z,263.29,263.45,263.26,263.39,71452.0
2026-04-15T15:34:00Z,263.3778,263.58,263.3778,263.545,131030.0
2026-04-15T15:35:00Z,263.56,263.67,263.51,263.65,81681.0
2026-04-15T15:36:00Z,263.66,263.7697,263.35,263.36,82563.0
2026-04-15T15:37:00Z,263.36,263.64,263.28,263.5901,71329.0
2026-04-15T15:38:00Z,263.6,263.64,263.4114,263.435,53124.0
2026-04-15T15:39:00Z,263.435,263.48,263.32,263.395,79280.0
2026-04-15T15:40:00Z,263.39,263.51,263.3502,263.51,47835.0
2026-04-15T15:41:00Z,263.51,263.69,263.465,263.615,121557.0
2026-04-15T15:42:00Z,263.61,263.82,263.5,263.82,116863.0
2026-04-15T15:43:00Z,263.81,263.84,263.57,263.67,54787.0
2026-04-15T15:44:00Z,263.69,263.76,263.605,263.67,84422.0
2026-04-15T15:45:00Z,263.66,263.755,263.54,263.6,55341.0
2026-04-15T15:46:00Z,263.61,263.8,263.59,263.7901,80369.0
2026-04-15T15:47:00Z,263.79,263.82,263.57,263.62,73517.0
2026-04-15T15:48:00Z,263.625,263.73,263.57,263.68,63284.0
2026-04-15T15:49:00Z,263.66,263.79,263.64,263.715,79217.0
2026-04-15T15:50:00Z,263.73,264.1,263.73,264.09,132413.0
2026-04-15T15:51:00Z,264.08,264.39,264.04,264.34,108938.0
2026-04-15T15:52:00Z,264.33,264.46,264.18,264.44,144006.0
2026-04-15T15:53:00Z,264.45,264.665,264.45,264.6551,108350.0
2026-04-15T15:54:00Z,264.67,264.74,264.5502,264.565,131945.0
2026-04-15T15:55:00Z,264.565,264.77,264.52,264.725,86472.0
2026-04-15T15:56:00Z,264.718,264.735,264.41,264.47,108168.0
2026-04-15T15:57:00Z,264.4667,264.6499,264.36,264.515,89241.0
2026-04-15T15:58:00Z,264.51,264.62,264.51,264.6001,42940.0
2026-04-15T15:59:00Z,264.6008,264.62,264.29,264.395,123751.0
2026-04-15T16:00:00Z,264.38,264.59,264.31,264.58,62775.0
2026-04-15T16:01:00Z,264.58,264.8,264.53,264.74,95530.0
2026-04-15T16:02:00Z,264.79,264.9299,264.77,264.85,105830.0
2026-04-15T16:03:00Z,264.84,265.03,264.8,264.86,256609.0
2026-04-15T16:04:00Z,264.85,265.015,264.84,264.975,102423.0
2026-04-15T16:05:00Z,264.975,265.09,264.62,264.75,193475.0
2026-04-15T16:06:00Z,264.76,264.89,264.53,264.85,148436.0
2026-04-15T16:07:00Z,264.85,265.08,264.85,265.045,90748.0
2026-04-15T16:08:00Z,265.06,265.38,265.06,265.35,119477.0
2026-04-15T16:09:00Z,265.345,265.4,265.27,265.37,58339.0
2026-04-15T16:10:00Z,265.36,265.36,265.186,265.275,98854.0
2026-04-15T16:11:00Z,265.26,265.3599,265.26,265.33,72103.0
2026-04-15T16:12:00Z,265.33,265.38,265.13,265.37,130216.0
2026-04-15T16:13:00Z,265.37,265.42,265.24,265.32,62316.0
2026-04-15T16:14:00Z,265.32,265.33,265.18,265.3,77060.0
2026-04-15T16:15:00Z,265.3,265.4,265.205,265.3,157202.0
2026-04-15T16:16:00Z,265.28,265.4,265.28,265.33,76711.0
2026-04-15T16:17:00Z,265.32,265.35,265.21,265.3,110291.0
2026-04-15T16:18:00Z,265.285,265.51,265.275,265.46,100697.0
2026-04-15T16:19:00Z,265.455,265.47,265.0199,265.07,120660.0
2026-04-15T16:20:00Z,265.07,265.09,264.95,264.99,71093.0
2026-04-15T16:21:00Z,264.99,265.08,264.86,264.96,79831.0
2026-04-15T16:22:00Z,264.965,264.97,264.87,264.88,48780.0
2026-04-15T16:23:00Z,264.88,264.95,264.81,264.86,38189.0
2026-04-15T16:24:00Z,264.84,265.06,264.82,265.03,52935.0
2026-04-15T16:25:00Z,265.03,265.04,264.785,264.895,90025.0
2026-04-15T16:26:00Z,264.91,265.13,264.8601,265.085,83842.0
2026-04-15T16:27:00Z,265.07,265.07,264.82,264.84,48663.0
2026-04-15T16:28:00Z,264.84,264.89,264.67,264.675,91817.0
2026-04-15T16:29:00Z,264.685,264.7385,264.53,264.579,84563.0
2026-04-15T16:30:00Z,264.58,264.585,264.24,264.385,99988.0
2026-04-15T16:31:00Z,264.385,264.59,264.38,264.57,79668.0
2026-04-15T16:32:00Z,264.57,264.73,264.57,264.6223,62756.0
2026-04-15T16:33:00Z,264.63,264.91,264.6,264.91,67003.0
2026-04-15T16:34:00Z,264.935,265.03,264.8305,264.99,81634.0
2026-04-15T16:35:00Z,265.0,265.25,264.94,265.13,104217.0
2026-04-15T16:36:00Z,265.15,265.16,264.8385,264.955,60660.0
2026-04-15T16:37:00Z,264.96,265.19,264.82,265.19,82673.0
2026-04-15T16:38:00Z,265.2,265.3,265.17,265.225,65048.0
